itemid,label,linksto
8133,R ear,chartevents
8134,Tank press,chartevents
8137,preauricular tag,chartevents
8138,Trach Sx Color,chartevents
8139,Trach Sx Quantity,chartevents
8140,Trach Sx Quality,chartevents
8141,chest dressing,chartevents
8144,Apical Pulse,chartevents
8146,R VAC/L VAC,chartevents
8147,broviac,chartevents
8148,Zidovudine/AZT,chartevents
8149,pedi ngt,chartevents
8152,T.disconnect,chartevents
6004,fundus check,chartevents
6005,Security Guard,chartevents
6006,peripad,chartevents
6007,badbath,chartevents
6008,SPUTUM INDUCTION,chartevents
6009,pictures taken,chartevents
6010,P-Lo,chartevents
6011,P Hi,chartevents
6012,T-Hi,chartevents
6013,T-Lo,chartevents
6014,PHENYFREE (1.0-2.0),chartevents
6015,Triple abx.,chartevents
6016,Neo Bili,chartevents
6017,metabolic labs,chartevents
6018,PIC line placed,chartevents
6019,Left arm Edema,chartevents
6020,gent peak/trough,chartevents
6021,(R) nephrostomy,chartevents
6022,Critic Aide,chartevents
6023,AV FISTULA,chartevents
6024,venous o2 sat,chartevents
6025,Mineral oil,chartevents
6026,NECKJP/DRAINAGE/SITE,chartevents
6027,thrush,chartevents
6028,abdominal girth,chartevents
6029,uac/uvc placement,chartevents
6030,Face,chartevents
6031,PADS/NECK INCISION.,chartevents
6032,TRACH CUFF TAKENDOWN,chartevents
6033,wound care,chartevents
6034,EPOGEN,chartevents
6035,Urinalysis sent,chartevents
6036,Blocked tear duct,chartevents
6037,ilex,chartevents
6038,Pediarix vaccine,chartevents
6039,Bath.,chartevents
6041,hi Ve,chartevents
6042,VIDALYN,chartevents
6043,surface cultures,chartevents
6044,Trn of 4,chartevents
6045,1-10 ML 20% MUCOMYST,chartevents
6046,Gentamicin ointment,chartevents
6047,Hi insp press,chartevents
6048,right armpit,chartevents
6049,pediarix,chartevents
6050,Pediarix Vaccination,chartevents
6051,Pediarix,chartevents
6052,"Neonatal bili, lytes",chartevents
6053,Hep flush 10U/CC,chartevents
6054,Neonatal bili,chartevents
6055,Peg Care,chartevents
6056,right fem sheath,chartevents
6057,Triple Antbx Oint,chartevents
6058,uric acid,chartevents
6060,Bipap mask,chartevents
6061,Sucrose H20,chartevents
6062,J-tube,chartevents
6063,P insp.,chartevents
6064,ORL Exam,chartevents
6065,High minute Volume,chartevents
6066,Chest tube DSG,chartevents
6067,Neonatal Bili & Lyts,chartevents
6068,dtap-hepb-ipv comb.,chartevents
6069,Suprapubic cath site,chartevents
6070,Full Skeletal X-Ray,chartevents
6071,Hep B Imm Globulin,chartevents
6072,vision fields,chartevents
6073,MV HI,chartevents
6074,NEONATAL BILI,chartevents
6075,Hep Flush 10U/cc,chartevents
6076,Flowrate,chartevents
6078,MV,chartevents
6079,Mitrazole powder,chartevents
6081,straight cath,chartevents
6082,Spinal Scan,chartevents
6083,OGT Placement,chartevents
6084,TRACH SITE,chartevents
6085,caffeine Bolus,chartevents
6086,Micro-Neb tx,chartevents
6087,PMV Trial,chartevents
4860,Myconizole powder,chartevents
4862,CIRC SITE,chartevents
4865,Clonus,chartevents
4867,Trivisol,chartevents
4870,tooth buds,chartevents
4871,vit d,chartevents
4872,TRI VI SOL,chartevents
4873,Tobradex oint.,chartevents
4874,atropine,chartevents
4875,cyclopentolate,chartevents
4880,Levothyroxin (T4),chartevents
4887,flow rate,chartevents
4888,lasix,chartevents
4889,Cyclopentolate,chartevents
4893,right hydrocele,chartevents
4894,left hydrocele,chartevents
4895,Nystatin susp,chartevents
4898,MVI,chartevents
4900,Oral Nystatin,chartevents
4901,SKIN,chartevents
4902,neuro consult,chartevents
4905,Fluconazole,chartevents
4910,glycerin supp.,chartevents
4911,hep B vaccine,chartevents
4914,tub,chartevents
4915,PRUNE JUICE,chartevents
4918,hep b vaccine,chartevents
4919,pectus,chartevents
4922,open crib,chartevents
4925,Amoxicillan,chartevents
4926,"Dexamethasone, gtts",chartevents
4928,Neo-Synephrine gtts,chartevents
4929,Prednisolone,chartevents
4936,Nystatin Oint.,chartevents
4937,circumcision care,chartevents
4941,Genetics Consult,chartevents
4944,hearing,chartevents
4946,Myconazole Pdr.,chartevents
4947,Nystatin cream,chartevents
4948,Bilirubin,chartevents
4950,Dexamethasone drops,chartevents
4951,Diaper rash,chartevents
4952,Bactroban,chartevents
4953,sucrose pacifier,chartevents
4954,Mineral Oil,chartevents
4955,sweating,chartevents
4956,Umbi hernia,chartevents
4957,Atropine drops,chartevents
4958,Tobramycin oint,chartevents
5603,Tri Vi Sol,chartevents
5604,criticaide,chartevents
5605,Miconazole Powder,chartevents
5606,Nutrition Labs,chartevents
5609,hydroactive gel,chartevents
5610,BP Q8H,chartevents
5612,Dexamethasone gtts,chartevents
5613,Neonatal Morphine PO,chartevents
5617,vitamin a,chartevents
5620,Abd US,chartevents
5621,DSD,chartevents
5625,Pinps,chartevents
5626,Vidalyn,chartevents
5628,head circ.,chartevents
5629,csm to right hand,chartevents
5630,DRIVING PRESSURE,chartevents
5631,High MV alarm.,chartevents
5632,R BREAST TEMP/COLOR,chartevents
5633,cyclosporine,chartevents
5634,Vidalin,chartevents
5635,Physical therapy,chartevents
5636,2nd O2 Sat,chartevents
5637,LeadII cardiac strip,chartevents
5638,sheath a line,chartevents
5639,r axilla-bupivacaine,chartevents
5640,r popliteal bupivace,chartevents
5641,fer-gen-sol,chartevents
5642,bupivacaine.1%-axila,chartevents
5643,bupivacaine.1%-pop,chartevents
5644,PASSY MUIR/CUFF DOWN,chartevents
5645,ct dressing,chartevents
5646,trach ties,chartevents
5647,trembling,chartevents
5648,multi-podis boots,chartevents
5649,PRBCS,chartevents
5650,WASH ABD--HIBICLENS,chartevents
5651,High Ve,chartevents
5652,PICC Attempt,chartevents
5654,rt art line,chartevents
5655,Multi podis Boots,chartevents
5656,phenylephrine,chartevents
5658,Erythromycin Oint,chartevents
5659,D5W & 40Gm CaGluc,chartevents
5660,LYTES,chartevents
5661,PLTS,chartevents
5662,lt. lat. decub,chartevents
5663,hepatitis B vaccine,chartevents
5664,CHOLEY TUBE,chartevents
5665,CHOLEY TUBE DRAINAGE,chartevents
5666,EDEMA,chartevents
5667,heliox tank pressure,chartevents
5668,CUFF PRESSURE,chartevents
5669,gent oint.,chartevents
5671,r fem art line,chartevents
5672,icd,chartevents
5674,vest,chartevents
5675,High Mv.,chartevents
5676,RIGHT FEM. ALINE,chartevents
5677,scrotal ultrasound,chartevents
5678,bath/ shampoo,chartevents
5679,RADIAL ABP,chartevents
5680,RADIAL MAP,chartevents
5681,umbi hernia measure,chartevents
5682,Neosynephrine gtts,chartevents
5683,Hourly PFR,chartevents
5692,"BILI, HCT. RETIC",chartevents
5693,Left Lateral decub,chartevents
5694,Abdominal ultrasound,chartevents
5695,CORTISOL LEVEL 30 MN,chartevents
5696,p Hi,chartevents
5697,CORTISOL LEVEL PRE,chartevents
5698,Vi-Day-Lin,chartevents
5699,CHROMOSOMES,chartevents
5700,Gent eye oint,chartevents
5701,TriViSol,chartevents
5702,FEM ART MEAN,chartevents
5703,FEM ART S/D,chartevents
5704,g-tube flush,chartevents
5705,j-tube flush,chartevents
5706,T HIGH,chartevents
5707,T LOW,chartevents
5708,MgSO4,chartevents
5709,TOX SCREEN,chartevents
5710,inital bath,chartevents
5711,x-ray,chartevents
5712,orogastric sxn,chartevents
5713,incision sites,chartevents
5714,CPM MACHINE,chartevents
5715,gentamycin eye ointt,chartevents
5716,bed exit alarm,chartevents
5717,circ.site,chartevents
5718,PIC,chartevents
5719,mucumyst,chartevents
5720,TOTAL BATH,chartevents
5721,abd lateral,chartevents
5722,AV fistula T/B,chartevents
5723,Caffiene Bolus,chartevents
5724,TEA BAGS TO R EYE.,chartevents
5725,umbilical,chartevents
5726,Hi Ve,chartevents
5727,Hi MV,chartevents
5728,Solumedrol  mg/kg/hr,chartevents
5729,bair hugger,chartevents
5730,hernia repair,chartevents
5731,FEMORAL ABP MEAN,chartevents
5732,FEMORAL ABP S/D,chartevents
5733,granuloma,chartevents
5735,peri pad chg,chartevents
5736,inst spir,chartevents
5737,breast pump,chartevents
5738,Pericardial flush,chartevents
5739,NAS assessment,chartevents
5740,Active ROM RUE/LUE,chartevents
5741,Passive ROM RUE/LUE,chartevents
5742,Colostomy Stoma,chartevents
5743,NT suction,chartevents
5744,High Exhaled Min vol,chartevents
5745,Hep flush 10units/cc,chartevents
5746,HEPARIN DEPEND ANTBY,chartevents
5747,dobutamine,chartevents
5748,VItamin A inj.,chartevents
5749,Percussion per bed,chartevents
5750,24hr Lytes&Bili,chartevents
5751,PRBCs,chartevents
5752,Epinephrin,chartevents
5753,Calcium Chloride,chartevents
5754,APNEA TIME,chartevents
5755,Time Disconnect,chartevents
5756,PINPS,chartevents
5757,mucous fistula,chartevents
5758,MV hi,chartevents
5759,gentics consult,chartevents
5760,Bed bath,chartevents
5761,Chromosomal analysis,chartevents
5762,rectal tube care,chartevents
5763,NGT NS FLUSH Q/4HR,chartevents
5764,driving press,chartevents
5765,CPR instruction,chartevents
5766,High mv,chartevents
5767,trach button,chartevents
5768,Left nephro. tube,chartevents
5769,multipodus splints,chartevents
5770,dexamethasone eye ds,chartevents
5771,Heliox PSI pressure,chartevents
5772,FLAP TEMP/COLOR,chartevents
5773,WAffle Boots,chartevents
5774,nipple shield used,chartevents
5775,Decadron nose drops,chartevents
5776,"FEM, ABP",chartevents
5777,Cyclomydril eye drop,chartevents
5778,low mv,chartevents
5779,high    mv,chartevents
5780,NT SX,chartevents
5781,Lab results,chartevents
5782,High Minute Ventilan,chartevents
5783,aprotinen cc/hr,chartevents
5784,lab results,chartevents
5785,Vath,chartevents
5786,high pressure,chartevents
5787,t-tube,chartevents
5788,LLE Cast care,chartevents
5789,RT. AVF BRUIT/THRILL,chartevents
5790,Cyclosporine mg/hr,chartevents
5791,RIGHT FEMORAL A-LINE,chartevents
5792,left  lower leg cast,chartevents
5793,DTR,chartevents
5794,DaPT,chartevents
5795,URETERAL STENT.,chartevents
5796,lochia,chartevents
5797,L FEM ALINE,chartevents
5798,Ecmo Flows,chartevents
5799,R LEG ELEVATED,chartevents
5800,mushroom catheter,chartevents
5801,high ve            n,chartevents
5802,HYPEROXYIA TEST,chartevents
5803,Femoral Sheath Aline,chartevents
5804,sheath MAP,chartevents
5805,DOPAMINE MICS/KG/MIN,chartevents
5806,180 DEGREE TURN,chartevents
5807,color of toes,chartevents
5808,Zygris,chartevents
5809,foely,chartevents
5810,urine calcium,chartevents
5811,urine creatinine,chartevents
5812,Urine lytes,chartevents
5813,ABP Alarm [Low],chartevents
5814,CVP Alarm [Low],chartevents
5815,HR Alarm [Low],chartevents
5816,ICP Alarm [Low],chartevents
5817,NBP Alarm [Low],chartevents
5818,PAP Alarm [Low],chartevents
5819,Resp Alarm [Low],chartevents
5820,SpO2 Alarm [Low],chartevents
5821,TBILI,chartevents
5822,Auqafor,chartevents
5823,Bed Percussion,chartevents
5824,HiMV,chartevents
5825,Nose Wound,chartevents
5826,CBC and blood cx,chartevents
5827,Nystatin Po suspensn,chartevents
5828,Multipodus Boots,chartevents
5829,"ABG, Io CA",chartevents
5831,Heparin Flush 10U/cc,chartevents
5832,DRIVING PRSSR,chartevents
5833,"Lytes.Tbili,ABG",chartevents
5834,Thoracentesis,chartevents
5835,Hep B vac,chartevents
5836,mask/sz,chartevents
5837,time disc.,chartevents
5838,jobst bra,chartevents
5839,eye movements,chartevents
5841,TPA,chartevents
5842,Decadron drops,chartevents
5843,Neosynephrine drops,chartevents
5844,hep. b,chartevents
5845,fem art,chartevents
5846,rigors,chartevents
5847,MV Hi,chartevents
5848,disconnect,chartevents
5849,Hep B vaccination,chartevents
5850,Home Bipap Unit,chartevents
5852,Multi-Podus,chartevents
5853,Elevate L leg,chartevents
5854,fem aline,chartevents
5855,t diconnect,chartevents
5856,icp,chartevents
5857,aterial line,chartevents
5858,bedside observer,chartevents
5859,left eye,chartevents
5860,Bed side Observer,chartevents
5861,TED STOCKINGS BILAT,chartevents
5862,right leg bruit,chartevents
5863,Opthamology consult,chartevents
5864,ostomy,chartevents
5865,APRV Pressure High,chartevents
5866,APRV Pressure Low,chartevents
5867,APRV Time High,chartevents
5868,APRV Time low,chartevents
5869,ATC on,chartevents
5870,HOME VENT,chartevents
5871,SIZURE PADS,chartevents
5872,Inner canula,chartevents
5873,Vanco trough,chartevents
5874,High min. vent,chartevents
5875,UA/UVC placement,chartevents
5876,bun,chartevents
5877,LFT's,chartevents
5879,Right Arm Cellulitis,chartevents
5880,low rr,chartevents
5883,desitin prn,chartevents
5884,Ranitidine pg,chartevents
5885,"Lytes,ABG,Bili",chartevents
5886,GlycerineSuppository,chartevents
5887,Gentamicin Opthalmic,chartevents
5889,Bladder cath,chartevents
5890,dulc.supp andenema,chartevents
5891,SSE,chartevents
5892,tpa mg/hr,chartevents
5893,NGT lavage,chartevents
5894,perit/bladder pressu,chartevents
5895,Abduction Wedge,chartevents
5896,VEN0US O2 SAT,chartevents
5897,Baptize,chartevents
5898,urine na,chartevents
5899,Triple Antibx Oint,chartevents
5900,Xeroform Dsg,chartevents
5901,"Lytes,Bili",chartevents
5902,yi MV,chartevents
5903,abdomenal incision,chartevents
5904,02 Tubing Present,chartevents
5905,Alarms Checked,chartevents
5906,Analgesic,chartevents
5907,Bag and Mask Present,chartevents
5908,Feeding Label Match,chartevents
5909,ID band(s) on,chartevents
5911,L&D bands(s) on,chartevents
5912,Sx Equip Functioning,chartevents
5913,Tolerated new med?,chartevents
5914,zz Equip Functioning,chartevents
5916,zz tubing present,chartevents
5919,zzg and Mask Present,chartevents
5920,passymuir valve,chartevents
5921,ABDOMINAL BINDER,chartevents
5922,bleedig at meatus,chartevents
5923,GI #2 guiac,chartevents
5924,Afrin Nasal Drops,chartevents
5925,Abdominal Hernia,chartevents
5926,right arm sling,chartevents
5927,NAS score,chartevents
5928,circumcison site,chartevents
5929,180 Degree rotation,chartevents
5930,VALPROA 50-100 UG/ML,chartevents
5931,ECMO,chartevents
5932,PMV.,chartevents
5933,Triple Abx ointment,chartevents
5934,R arm sensation,chartevents
5935,L Hand Grasp,chartevents
5936,R Hand Grasp,chartevents
5937,ecmo l/min,chartevents
5938,lvad svr,chartevents
5939,Lumbar drain,chartevents
5940,Ileostomy care,chartevents
5941,Feeding Team Eval,chartevents
5942,HIGH VT,chartevents
5943,sigh breath,chartevents
5944,I-Time,chartevents
5945,Continuous Neb,chartevents
5946,PIC Line placement,chartevents
5947,NEBS,chartevents
5948,Heb B,chartevents
5949,ivp,chartevents
5950,NO PPM,chartevents
5951,NO tank pr,chartevents
5952,nitric oxide,chartevents
5953,CRITICAID,chartevents
5954,ileostomy appearance,chartevents
5955,Analyzed INOV FiO2,chartevents
5956,Cardiologist visit,chartevents
5957,Cyclopentolate 1%,chartevents
5958,R) LE,chartevents
5959,scalp,chartevents
5960,vitamin A,chartevents
5961,PT Eval,chartevents
5962,Spironolactone,chartevents
5963,ceftaxime,chartevents
5964,Autopeep,chartevents
5965,Vitamin A injections,chartevents
5966,Continuous EEG q1hr,chartevents
5967,PROM,chartevents
5968,AF fistula T/B,chartevents
5969,IV infiltrate,chartevents
5970,"LYTES, BILI",chartevents
5971,"LYTES,BILI",chartevents
5972,fetal heartrate,chartevents
5973,R hand infiltrate,chartevents
5974,Nitric Dioxide,chartevents
5975,O2% on INOvent,chartevents
5976,lab draw,chartevents
5977,labs drawn,chartevents
5978,qtc,chartevents
5979,NITRIOUS OXIDE,chartevents
5980,INO TANK PRESS,chartevents
5981,L FEM ART BP,chartevents
5982,Triple antibx oint.,chartevents
5983,Fungal Blood cx,chartevents
5984,TSH NML(0.27-4.2),chartevents
5986,AV fistula bruit,chartevents
5987,Abd drsg change,chartevents
5988,AV Fistula Thrill,chartevents
5989,Right heel drsg chae,chartevents
5991,CVL,chartevents
5992,Surgical site,chartevents
5993,Peak exp flow rate,chartevents
5994,Hi min vol,chartevents
5995,Peak flow post tx.,chartevents
5996,T discon,chartevents
5997,HEPA FILTER,chartevents
5998,meds,chartevents
5999,prone/supine,chartevents
6000,HIGH MIN VOL.,chartevents
6001,Rebound bili,chartevents
6002,Desitin prn,chartevents
6003,ph level,chartevents
5260,BROVIAC DSG,chartevents
5261,Fentanyl Bolus,chartevents
5262,Lytes,chartevents
5263,STOMA,chartevents
5265,Hepflush,chartevents
5273,Erythropoetin,chartevents
5280,flowrate cc's,chartevents
5281,oral nystatin,chartevents
5282,propanolol,chartevents
5283,glycerin sliver,chartevents
5285,Cord Drg.,chartevents
5289,cefotaxine,chartevents
5292,Propranolol,chartevents
5293,Aquafor,chartevents
5301,180 degree rotation,chartevents
5309,180 degree turn,chartevents
5311,Chest tube,chartevents
5316,CLONIS,chartevents
5320,flowrate cc/min,chartevents
5321,ns bolus,chartevents
5325,Hernia,chartevents
5329,Dopamine,chartevents
5333,saline flush,chartevents
5340,Glycerine supp,chartevents
5343,KPhosphate,chartevents
5346,atropine drops,chartevents
5347,tobradex oint,chartevents
5353,type and coombs,chartevents
5356,Dexamethasone eye ds,chartevents
5361,Combivent Puffs,chartevents
5374,position rotated 180,chartevents
5380,piperacillin-tazbac,chartevents
5384,OP site,chartevents
5386,penrose drain area,chartevents
5387,chesttube site,chartevents
5388,incision,chartevents
5391,ligation incision,chartevents
5392,D10W bolus,chartevents
5394,stoma,chartevents
5395,Beclamethasone,chartevents
1469,LLE circumference,chartevents
1470,drsgs change,chartevents
1471,left leg measurement,chartevents
1472,Bivaliruden,chartevents
1474,Folate,chartevents
1475,Haptoglobin,chartevents
1478,pericard drain irr.,chartevents
1479,IV #1 Reason DC'D,chartevents
1480,IV #2 Reason DC'D,chartevents
1481,IV #3 Reason DC'D,chartevents
1482,IV #4 Reason DC'D,chartevents
1483,RSBI Not Completed,chartevents
1484,Risk for Falls,chartevents
1485,Bivalirudin mg/kg/hr,chartevents
1486,High Minute Volume,chartevents
1487,hi min vent,chartevents
1488,HIGH MIN. VENTIL.,chartevents
1489,Transtracheal,chartevents
1490,oob to chair,chartevents
1491,apnea time,chartevents
1492,High MV Alarm,chartevents
1493,LAVAGE,chartevents
1494,r nare-saline irrign,chartevents
1495,urine ph,chartevents
1496,HIGH MIN. VENT.,chartevents
1497,High Vent Alarm,chartevents
1498,High Minute Vo;ume,chartevents
1499,high min. vol,chartevents
1500,HI MV ALARM,chartevents
1501,FOLEY CLAMPED,chartevents
1502,bladder irrig. 60cc,chartevents
1503,Bed Bath,chartevents
1504,High min. volume,chartevents
1505,Palmer Pulses R/L,chartevents
1506,high min. vol.,chartevents
1507,HIGH MINUTE VOL,chartevents
1508,Hi/Minute/Vol/Alarm,chartevents
1509,bld pres,chartevents
1510,high Ve,chartevents
1512,bbaaath,chartevents
1513,Hi Min Vol,chartevents
1514,Hi Tidal Vol,chartevents
1515,decub drsg change,chartevents
1516,Family Meeting [Month],chartevents
1517,Readmit <48 hrs,chartevents
1543,chest tube drsg.,chartevents
1544,high min,chartevents
1545,hand drsg change,chartevents
1546,high ve,chartevents
1547,fundus,chartevents
1548,Lt hand splint &ace,chartevents
1549,liperudin,chartevents
1550,lipirudin,chartevents
1551,high MV,chartevents
1552,d5w 10gm ca+ glucon,chartevents
1553,flank drsg change,chartevents
1554,nephr. tubes irrig.,chartevents
1555,Apnea Interval,chartevents
1556,High min. vol,chartevents
1557,automatic tube comp.,chartevents
1558,APRV P HIGH,chartevents
1559,APRV P LOW,chartevents
1560,APRV T HIGH,chartevents
1561,APRV T LOW,chartevents
1562,High Minute Ventil.,chartevents
1563,ob pad change,chartevents
1564,pink pad change,chartevents
1565,High MV Limit,chartevents
1566,high min vol,chartevents
1567,apnea,chartevents
1568,high me,chartevents
1569,high min vol.,chartevents
1570,HI TIDAL VOL,chartevents
1571,ABG,chartevents
1572,low me,chartevents
1573,Right Carotid Site,chartevents
1575,HIGH MINUTE VOL.,chartevents
1576,automatic tube com,chartevents
1577,high minute vent,chartevents
1578,HI/Minute/Vol,chartevents
1579,CORNEAL REFLEXES,chartevents
1580,HI/Minute/Volume,chartevents
1581,APRV,chartevents
1582,P high,chartevents
1583,P lo,chartevents
1584,T hi,chartevents
1585,T lo,chartevents
1586,Xigris mcg/kg/hr,chartevents
1587,xigris mg/hr,chartevents
1588,min vol,chartevents
1589,RA,chartevents
1590,disconnect alarm,chartevents
1591,waffle boots,chartevents
1592,Left Arm Girth (cm),chartevents
1593,hi min vol.,chartevents
1594,HI/MINUTE/VOL,chartevents
1595,Seizure Pads,chartevents
1596,HIGH MV,chartevents
1597,Flolan chart cc/hr,chartevents
1598,Flovan chart as cchr,chartevents
1599,HIGH MINUTE VENT.,chartevents
1600,HIGH MINUTE VOLUME,chartevents
1601,C.C.O,chartevents
1602,hepa filter,chartevents
1603,multi podis boots,chartevents
1604,HI/Minute/Vol/,chartevents
1605,METHYLPRED 450MG/HR,chartevents
1606,spinal precautions,chartevents
1607,Disconnect alarm,chartevents
1608,air mattress,chartevents
1609,Isuprel 1mcg/min,chartevents
1610,THERA VEST 15 MIN.,chartevents
1611,I time,chartevents
1612,Pres. High,chartevents
1613,Pres. Low,chartevents
1614,Time High,chartevents
1615,Time Low,chartevents
1616,High MV.,chartevents
1617,peripad change,chartevents
1618,high tidal vol,chartevents
1619,Lepirudin,chartevents
1620,L foot CSM check,chartevents
1621,High/Min/Vent,chartevents
1622,Alarms,chartevents
1623,Parameters Checked,chartevents
1624,PreSep Catheter SVO2,chartevents
1626,CPT/VEST,chartevents
1627,Muco lavg,chartevents
1628,Percussive vest,chartevents
1630,podis boots,chartevents
1631,High/MIN/VENT,chartevents
1632,PMV,chartevents
1633,HIGH/MIN/VENT,chartevents
1634,lactated ringers,chartevents
1635,HIGH Resp Rate,chartevents
1636,Lavage,chartevents
1637,pneumo boots,chartevents
1638,cortisol,chartevents
1639,High MV,chartevents
1640,PEG care,chartevents
1641,high min. volume,chartevents
1642,Brachial Site,chartevents
1643,Brachial Site Appear,chartevents
1644,Brachial Site Dressi,chartevents
1645,LLE drsg change,chartevents
1646,RLE drsg change,chartevents
1647,coccyx dsg change,chartevents
1648,HIGH ME,chartevents
1649,Hi MV Alarm Set,chartevents
1650,high mv,chartevents
1651,High Tidal Volume,chartevents
1652,MP boots,chartevents
1653,Bed Alarm,chartevents
1654,HIGH VE,chartevents
1655,Insp. Time,chartevents
1656,Press Low,chartevents
1657,Pressw High,chartevents
1658,driving pressure,chartevents
1659,high min vent,chartevents
1660,High Tidal volume,chartevents
1661,Bed alarms on,chartevents
1662,High min vol,chartevents
1663,Calcium gluconate,chartevents
1664,Low exhaled min vol,chartevents
1665,High Min Vol,chartevents
1666,phigh,chartevents
1667,plow,chartevents
1668,thigh,chartevents
1669,tlow,chartevents
1670,driveP,chartevents
1671,act,chartevents
1672,MEAN AIRWAY PRESS,chartevents
1673,PH,chartevents
1674,PL,chartevents
1675,TH,chartevents
1676,TL,chartevents
1677,Altepase mg/hr,chartevents
1678,Time disconnect,chartevents
1679,high min. vent.,chartevents
1680,flush catheter,chartevents
1681,high MV.,chartevents
1682,multi podus boots,chartevents
1683,Low minute volume,chartevents
1684,APNEA,chartevents
1685,HI MV,chartevents
1686,Hi insp. pressure,chartevents
1687,high minute vol,chartevents
1688,passy muir,chartevents
1689,P High,chartevents
1690,P low,chartevents
1691,T high,chartevents
1692,T low,chartevents
1693,check for pulsus q4h,chartevents
1694,HI VE,chartevents
1695,Atr Sens Thresh mV,chartevents
1696,Atr Stim Thresh mA,chartevents
1697,Atrial Pacemaker Sense [mV],chartevents
1698,GI Tube #1 [Site],chartevents
1699,GI Tube #2 [Site],chartevents
1700,GI#3 Intub Site,chartevents
6407,Warm compress,chartevents
2014,lithium level,chartevents
2015,ATC ON,chartevents
2018,High min volume,chartevents
2019,High min vol.,chartevents
2020,r leg elevated,chartevents
2021,Seizure Precautions,chartevents
2022,NIF,chartevents
2025,High pressure,chartevents
2026,High time,chartevents
2027,Low pressure,chartevents
2028,Low time,chartevents
2029,Xigris,chartevents
2030,automatic tube comp,chartevents
2033,High VE,chartevents
2034,High min. vent.,chartevents
2036,high min.,chartevents
2037,PC driving press,chartevents
2039,PHIGH,chartevents
2040,PLOW,chartevents
2041,THIGH,chartevents
2042,TLOW,chartevents
2043,Tidal Vol (P High),chartevents
2044,Tidal Vol (P Low),chartevents
2045,icp left,chartevents
2046,hi minute vol,chartevents
2049,HI TIDAL VOLUME,chartevents
2050,Low MV,chartevents
2052,Nicardipine,chartevents
2053,high VE,chartevents
2056,Nitric Oxide,chartevents
2057,nitric tank pressure,chartevents
2058,Hi VE,chartevents
2059,Driving pressure,chartevents
2060,Disconnect alarm.,chartevents
2061,EPOPROSTENOL,chartevents
2062,NO ppm,chartevents
2063,NO tank psi,chartevents
2064,in-exsufflator,chartevents
2065,HIGH TIDAL VOLUME,chartevents
2066,atc,chartevents
2069,hi tidal volume,chartevents
2070,nicardipine gtt,chartevents
2071,P (drive),chartevents
2072,Pinsp,chartevents
2074,AV Fistula,chartevents
2076,HI(GH MV,chartevents
2077,nicardipine 25mg/250,chartevents
2078,Nitric Oxide ppm,chartevents
2079,Nitric tank psi,chartevents
2080,high NO,chartevents
2081,high NO2,chartevents
2086,R groin angio site,chartevents
2089,highmv,chartevents
2090,HI/minute/Vol,chartevents
2091,dexmedetomidine,chartevents
2092,T deconnect,chartevents
2093,Nicardipine mcg/k/mn,chartevents
2094,Spont VT,chartevents
2095,Octreotide,chartevents
2098,BariAir Auto Turn,chartevents
2099,lymphedema sleeve,chartevents
2100,cardene mcg/kg/min,chartevents
2101,nicardipine mg/hr,chartevents
2103,High minute volume,chartevents
2105,hi minute volume,chartevents
2106,study drug/24mcg/k/h,chartevents
2107,pinsp,chartevents
2109,High MV alarm,chartevents
2110,Mucomyst,chartevents
2112,continuous C.O,chartevents
2114,Assess Peak Flow,chartevents
2116,Disconnect,chartevents
2118,I.T,chartevents
2119,Slope,chartevents
2123,High exhale MV,chartevents
2124,high mn vent,chartevents
2125,slope,chartevents
2126,Hi/Minute/Vol,chartevents
2127,high exhale mv,chartevents
2129,Driving Pressure,chartevents
2130,NO tank PSI,chartevents
2131,Nitric oxide,chartevents
2132,flolan,chartevents
2133,PCV-Delta P,chartevents
2135,CCO CI,chartevents
2136,CCO CO,chartevents
2137,Nephrostomy Drain,chartevents
2139,EDVI,chartevents
2140,Glucagon,chartevents
2141,Glucagon mg/hr,chartevents
2143,multipodus,chartevents
2145,tpa,chartevents
2146,edvi,chartevents
2150,CHEST PT,chartevents
2161,aprotinin cc/hr,chartevents
2164,NIMBEX MG/KG/HR,chartevents
2166,PRECEDEX MCG/KG/HR,chartevents
2173,EYE CARE,chartevents
2185,CALCIUM GLUCONATE,chartevents
2188,precedex mcg/kg/hr,chartevents
2194,SVO2,chartevents
2195,precedex,chartevents
2196,PRECEDEX,chartevents
2198,EPIDURAL,chartevents
2201,Precedex,chartevents
2203,SOLUMEDROL,chartevents
2209,MULTIPODUS BOOT,chartevents
2224,URINE CREAT,chartevents
2225,URINE NA,chartevents
2226,URINE OSMO,chartevents
2229,PAW,chartevents
2236,MULTIPODUS BOOTS,chartevents
2248,VASOPRESSIN UNIT/MIN,chartevents
2256,FEM A LINE,chartevents
2265,MVO2,chartevents
2268,BREAST BINDER,chartevents
2273,vanco level,chartevents
2274,APROTININ U/HR,chartevents
2275,FEM LINE BP,chartevents
2280,1:1 sitter,chartevents
2281,VENT DRAIN,chartevents
2283,PRECEDEX MG/K/HR,chartevents
2284,Cisatra  mcg/kg/min,chartevents
2285,nimbex mcg/kg/min,chartevents
2287,APROTININ CC/HR,chartevents
2288,L ARM ELEVATION,chartevents
2289,HEPARIN,chartevents
2290,nimbex mcg/kg/m,chartevents
2293,ART BP,chartevents
2294,ART MEAN,chartevents
2296,Precedex (mcg/kg/hr),chartevents
